accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.754000663757324219e+00,8.361000061035154474e+00,4.588950157165527344e+00,1.205625057220458807e+01,-1.188750076293945135e+01,-3.238125228881835938e+01,5.454624891281127930e-01,-1.931049942970276101e+00,-1.508787512779235840e+00
-1.710000038146972656e+00,5.970000028610228382e-01,9.861000061035154474e+00,5.165625381469727273e+01,1.764375114440917969e+01,-2.261250114440917613e+01,4.124999977648256475e-03,-6.874999962747097015e-04,-2.419999986886978149e-02
-1.698000073432922363e+00,6.160500049591064453e-01,9.943050384521484375e+00,5.152500152587890625e+01,1.745625114440917969e+01,-2.310000038146972656e+01,1.512499991804361127e-03,-4.124999977648257667e-04,1.787499990314245224e-03
-1.687950134277343750e+00,6.090000271797180176e-01,9.913950920104980469e+00,5.201250076293945312e+01,1.726875114440917969e+01,-2.424375152587890625e+01,3.299999982118606567e-03,2.749999985098838806e-04,8.249999955296516418e-04
